

 Symbol   :: Code
01111100  ::  00000
01111101  ::  00001
10000101  ::  00010
10000100  ::  00011
10010001  ::  001000
10011100  ::  0010010
01010111  ::  00100110
01001110  ::  001001110
01001100  ::  001001111
10000011  ::  00101
01110001  ::  001100
10010000  ::  001101
01111110  ::  00111
10000010  ::  01000
10000000  ::  01001
01011000  ::  01010000
01001101  ::  010100010
11100100  ::  01010001100000
11101000  ::  01010001100001
11101101  ::  01010001100010
11110100  ::  01010001100011
00101110  ::  010100011001
00110111  ::  01010001101
01000010  ::  0101000111
01101000  ::  0101001
10101101  ::  010101000
01010001  ::  010101001
10100011  ::  01010101
10011001  ::  0101011
01111111  ::  01011
10000001  ::  01100
10001111  ::  011010
10011010  ::  0110110
10011011  ::  0110111
01110010  ::  011100
11000100  ::  011101000000
11111110  ::  01110100000100
11111111  ::  011101000001010
00000001  ::  011101000001011
00011111  ::  0111010000011
11000010  ::  01110100001
10110101  ::  0111010001
10110110  ::  0111010010
00111011  ::  01110100110
11000001  ::  01110100111
10101111  ::  011101010
01000100  ::  0111010110
00100111  ::  011101011100
00101100  ::  011101011101
00100101  ::  0111010111100
00101010  ::  0111010111101
00110110  ::  011101011111
01101001  ::  0111011
01110011  ::  011110
10011000  ::  0111110
01011011  ::  01111110
00111110  ::  0111111100
10110001  ::  0111111101
01001111  ::  011111111
10001110  ::  100000
01000101  ::  1000010000
10110111  ::  1000010001
10101110  ::  100001001
01011110  ::  10000101
01101011  ::  1000011
01110100  ::  100010
10001101  ::  100011
10001100  ::  100100
00111001  ::  10010100000
00111100  ::  10010100001
10111111  ::  10010100010
11001111  ::  1001010001100
11001110  ::  1001010001101
00101011  ::  100101000111
00110100  ::  100101001000
11001101  ::  100101001001
11010010  ::  1001010010100
11010011  ::  1001010010101
11010110  ::  1001010010110
11101001  ::  1001010010111
00000000  ::  10010100110000
00010011  ::  10010100110001
00010110  ::  10010100110010
00011010  ::  10010100110011
00100000  ::  10010100110100
00100110  ::  10010100110101
11011100  ::  10010100110110
11011110  ::  10010100110111
11011111  ::  10010100111000
11100000  ::  10010100111001
11100001  ::  10010100111010
11100010  ::  10010100111011
11101010  ::  10010100111100
11101100  ::  10010100111101
11110111  ::  10010100111110
11111001  ::  10010100111111
10100010  ::  10010101
10010111  ::  1001011
01101010  ::  1001100
01011111  ::  10011010
00001100  ::  100110110000000
00011000  ::  100110110000001
11011000  ::  100110110000010
11011011  ::  100110110000011
11100011  ::  100110110000100
11100101  ::  100110110000101
11100111  ::  100110110000110
11101011  ::  100110110000111
11110010  ::  100110110001000
11110101  ::  100110110001001
11110110  ::  100110110001010
11111000  ::  100110110001011
11111011  ::  100110110001100
11111101  ::  100110110001101
00000011  ::  1001101100011100
00001000  ::  1001101100011101
00001110  ::  1001101100011110
00010000  ::  1001101100011111
00110011  ::  100110110010
11000111  ::  100110110011
01000011  ::  1001101101
01010011  ::  100110111
10001011  ::  100111
01110101  ::  101000
01011100  ::  10100100
10100001  ::  10100101
01011101  ::  10100110
10101011  ::  101001110
01010000  ::  101001111
01100000  ::  10101000
01001001  ::  1010100100
11001001  ::  101010010100
00010111  ::  1010100101010000
11011001  ::  1010100101010001
11100110  ::  1010100101010010
11101110  ::  1010100101010011
11101111  ::  1010100101010100
11110000  ::  1010100101010101
11111010  ::  1010100101010110
11111100  ::  1010100101010111
00011110  ::  1010100101011
10111001  ::  10101001011
10101100  ::  101010011
01101100  ::  1010101
01110110  ::  101011
10010110  ::  1011000
01000111  ::  1011001000
10110011  ::  1011001001
10101010  ::  101100101
01100001  ::  10110011
10001010  ::  101101
01101110  ::  1011100
10100000  ::  10111010
01100011  ::  10111011
01101101  ::  1011110
00110001  ::  101111100000
11000101  ::  101111100001
11010001  ::  101111100010
00100100  ::  1011111000110
11001011  ::  1011111000111
10111110  ::  10111110010
11001100  ::  1011111001100
11010111  ::  1011111001101
00110101  ::  101111100111
10110010  ::  1011111010
01000110  ::  1011111011
10011111  ::  10111111
10001001  ::  110000
10010100  ::  1100010
10010101  ::  1100011
01110111  ::  110010
01111000  ::  110011
01001011  ::  1101000000
01001000  ::  1101000001
00111000  ::  110100001000
10111011  ::  110100001001
00100011  ::  1101000010100
00101000  ::  1101000010101
11001010  ::  1101000010110
00001101  ::  11010000101110
00001111  ::  11010000101111
00010010  ::  11010000110000
00011011  ::  11010000110001
00011101  ::  11010000110010
00100010  ::  11010000110011
11010101  ::  11010000110100
11011101  ::  11010000110101
11110001  ::  11010000110110
11110011  ::  11010000110111
01000001  ::  11010000111
01100010  ::  11010001
10010011  ::  1101001
01111001  ::  110101
10001000  ::  110110
10000111  ::  110111
10101001  ::  111000000
01010010  ::  111000001
10011110  ::  11100001
01100100  ::  11100010
01100110  ::  11100011
01100101  ::  11100100
10110100  ::  1110010100
01001010  ::  1110010101
01010101  ::  111001011
01110000  ::  1110011
01111010  ::  111010
01101111  ::  1110110
10011101  ::  11101110
00111101  ::  11101111000
00110010  ::  111011110010
11000000  ::  111011110011
00100001  ::  1110111101000
11000110  ::  1110111101001
11001000  ::  1110111101010
11010000  ::  1110111101011
01000000  ::  11101111011
10101000  ::  111011111
10000110  ::  111100
10010010  ::  1111010
10100111  ::  111101100
01010100  ::  111101101
01010110  ::  111101110
10100100  ::  111101111
01111011  ::  111110
01011010  ::  111111000
10100110  ::  111111001
10111000  ::  11111101000
10111010  ::  111111010010
11000011  ::  111111010011
10110000  ::  1111110101
01011001  ::  111111011
01100111  ::  11111110
10100101  ::  111111110
00101101  ::  1111111110000
00101111  ::  1111111110001
00110000  ::  1111111110010
00010100  ::  11111111100110
00011001  ::  11111111100111
00011100  ::  11111111101000
00001010  ::  111111111010010
00001011  ::  111111111010011
00010001  ::  111111111010100
00101001  ::  111111111010101
11010100  ::  111111111010110
11011010  ::  111111111010111
00111010  ::  111111111011
