

 Symbol   :: Code
00000010  ::  0000
00000100  ::  00010
00001011  ::  000110
00111011  ::  0001110
00111100  ::  0001111
00110110  ::  0010000
00111001  ::  0010001
10100110  ::  00100100000
10101111  ::  001001000010
10111101  ::  001001000011
10000100  ::  0010010001
11001100  ::  001001001000
11100110  ::  001001001001
10001111  ::  00100100101
10000001  ::  0010010011
01011001  ::  00100101
00111000  ::  0010011
00111010  ::  0010100
01010111  ::  00101010
01100110  ::  001010110
01101011  ::  001010111
00001010  ::  001011
01010101  ::  00110000
01010010  ::  00110001
00110100  ::  0011001
00110111  ::  0011010
10001001  ::  0011011000
10000101  ::  0011011001
10001101  ::  00110110100
10111100  ::  001101101010
11000001  ::  001101101011
10111000  ::  0011011011000
11000101  ::  0011011011001
11000110  ::  0011011011010
11001000  ::  0011011011011
11010000  ::  0011011011100
11100001  ::  0011011011101
11100011  ::  0011011011110
11100101  ::  0011011011111
01010001  ::  00110111
00110011  ::  0011100
00110101  ::  0011101
00001001  ::  001111
01010110  ::  01000000
10000000  ::  0100000100
11101110  ::  0100000101000
11001001  ::  01000001010010
11010110  ::  01000001010011
11101100  ::  01000001010100
11110000  ::  01000001010101
11110001  ::  01000001010110
11110010  ::  01000001010111
10010010  ::  01000001011
01111100  ::  0100000110
10010011  ::  01000001110
10001011  ::  01000001111
00101111  ::  0100001
00110010  ::  0100010
00110001  ::  0100011
00110000  ::  0100100
01010011  ::  01001010
01100111  ::  010010110
01101001  ::  010010111
00001000  ::  010011
00101001  ::  0101000
00101110  ::  0101001
01101010  ::  010101000
01101100  ::  010101001
10011011  ::  010101010000
10110010  ::  010101010001
10011000  ::  01010101001
01111101  ::  0101010101
01101000  ::  010101011
00101011  ::  0101011
00000111  ::  010110
01111110  ::  0101110000
10000011  ::  0101110001
01101101  ::  010111001
10011001  ::  01011101000
10100010  ::  01011101001
10100001  ::  010111010100
10100100  ::  010111010101
10110001  ::  010111010110
10110011  ::  010111010111
11000000  ::  010111011000
10110101  ::  0101110110010
11001110  ::  0101110110011
11001111  ::  0101110110100
11010001  ::  0101110110101
11011000  ::  0101110110110
11011001  ::  0101110110111
01110011  ::  0101110111
00100101  ::  0101111
00000011  ::  01100
00101010  ::  0110100
00101101  ::  0110101
00100110  ::  0110110
00101100  ::  0110111
00100001  ::  0111000
01010000  ::  01110010
01001110  ::  01110011
01111011  ::  0111010000
01111111  ::  0111010001
10101100  ::  011101001000
10111010  ::  011101001001
11000100  ::  011101001010
11100010  ::  011101001011
01111010  ::  0111010011
01001101  ::  01110101
00100011  ::  0111011
00101000  ::  0111100
00100111  ::  0111101
01001111  ::  01111100
10010101  ::  01111101000
10100111  ::  01111101001
11111000  ::  0111110101000
10101110  ::  0111110101001
10010001  ::  011111010101
10010111  ::  01111101011
01111001  ::  0111110110
10110110  ::  0111110111000
10111001  ::  0111110111001
10111011  ::  0111110111010
10111110  ::  0111110111011
11000010  ::  0111110111100
11000111  ::  0111110111101
11001011  ::  0111110111110
11001101  ::  0111110111111
00100000  ::  0111111
00100100  ::  1000000
01001100  ::  10000010
01110110  ::  1000001100
11011111  ::  1000001101000
11101101  ::  1000001101001
10101101  ::  10000011010100
11010111  ::  10000011010101
11100000  ::  10000011010110
11100100  ::  10000011010111
10001100  ::  10000011011
01011010  ::  100000111
00000110  ::  100001
00011110  ::  1000100
01100101  ::  100010100
01100010  ::  100010101
10010110  ::  10001011000
11100111  ::  10001011001000
11101010  ::  10001011001001
11101111  ::  10001011001010
11110011  ::  100010110010110
11110111  ::  100010110010111
10111111  ::  100010110011
01110111  ::  1000101101
01100100  ::  100010111
00011001  ::  1000110
00011000  ::  1000111
00011111  ::  1001000
00011100  ::  1001001
00011101  ::  1001010
00010010  ::  1001011
01100011  ::  100110000
01111000  ::  1001100010
10010100  ::  10011000110
10101001  ::  100110001110
10110000  ::  1001100011110
10110111  ::  1001100011111
01000110  ::  10011001
00001111  ::  1001101
00100010  ::  1001110
01001011  ::  10011110
01001010  ::  10011111
00011010  ::  1010000
00011011  ::  1010001
00010001  ::  1010010
00010101  ::  1010011
00010111  ::  1010100
01001001  ::  10101010
01000111  ::  10101011
00010000  ::  1010110
01000100  ::  10101110
01000011  ::  10101111
00010011  ::  1011000
00010100  ::  1011001
00000101  ::  101101
10001000  ::  10111000000
10001110  ::  10111000001
11011010  ::  1011100001000
11010010  ::  1011100001001000
11010101  ::  1011100001001001
11101001  ::  1011100001001010
11110101  ::  1011100001001011
11001010  ::  10111000010011
10011110  ::  101110000101
10000010  ::  10111000011
01011110  ::  101110001
01000001  ::  10111001
00001110  ::  1011101
00001101  ::  1011110
01011000  ::  101111100
10100011  ::  101111101000
10101000  ::  101111101001
10001010  ::  10111110101
10101011  ::  101111101100
10011100  ::  101111101101
10110100  ::  1011111011100
