

 Symbol   :: Code
00000000  ::  000
00000001  ::  001
00000010  ::  01000
00000011  ::  01001
00000100  ::  01010
00000101  ::  010110
00000110  ::  010111
00000111  ::  011000
00001000  ::  011001
00001001  ::  011010
00001010  ::  0110110
00001011  ::  0110111
00001100  ::  011100
00010110  ::  0111010
00001101  ::  0111011
00001110  ::  0111100
00010100  ::  0111101
00010011  ::  0111110
00010000  ::  0111111
00010111  ::  100000
00010101  ::  1000010
00010001  ::  1000011
00011011  ::  1000100
00011010  ::  1000101
00100010  ::  1000110
00001111  ::  1000111
00010010  ::  1001000
00011101  ::  1001001
00011100  ::  1001010
00011111  ::  1001011
00011000  ::  1001100
00011001  ::  1001101
00011110  ::  1001110
00100000  ::  1001111
00100100  ::  1010000
00100111  ::  1010001
00101000  ::  1010010
00100011  ::  1010011
00100001  ::  1010100
00101100  ::  1010101
00100110  ::  1010110
00101101  ::  1010111
00101010  ::  1011000
00100101  ::  1011001
00101011  ::  1011010
00101110  ::  10110110
00101001  ::  10110111
00110000  ::  1011100
00110001  ::  1011101
00110010  ::  1011110
00101111  ::  10111110
00110101  ::  10111111
00110011  ::  1100000
00110111  ::  1100001
00110100  ::  1100010
00111010  ::  11000110
00111000  ::  11000111
00111001  ::  1100100
00110110  ::  11001010
00111100  ::  11001011
00111011  ::  1100110
01000000  ::  11001110
00111101  ::  11001111
01000101  ::  1101000
00111111  ::  11010010
00111110  ::  11010011
01001000  ::  11010100
01000010  ::  11010101
01000001  ::  11010110
01000011  ::  11010111
01000100  ::  1101100
01000111  ::  11011010
01001001  ::  11011011
01001010  ::  11011100
01001011  ::  11011101
01000110  ::  11011110
01001100  ::  11011111
01001111  ::  11100000
01001101  ::  11100001
01001110  ::  11100010
01010000  ::  111000110
01010011  ::  111000111
01010110  ::  11100100
01010001  ::  11100101
01010010  ::  11100110
01010101  ::  111001110
01010111  ::  111001111
01011001  ::  11101000
01100001  ::  111010010
01010100  ::  111010011
01100000  ::  11101010
01011100  ::  111010110
01011101  ::  111010111
01011011  ::  11101100
01011111  ::  111011010
01011000  ::  111011011
01011110  ::  111011100
01100011  ::  111011101
01100100  ::  111011110
01100010  ::  111011111
01100101  ::  111100000
01011010  ::  111100001
01101101  ::  111100010
01101000  ::  111100011
01101100  ::  111100100
01101010  ::  111100101
01101001  ::  111100110
01100111  ::  1111001110
01101011  ::  1111001111
01100110  ::  111101000
01110000  ::  1111010010
01101110  ::  1111010011
01110010  ::  111101010
01110100  ::  1111010110
01101111  ::  1111010111
01110001  ::  1111011000
01110101  ::  1111011001
01111000  ::  1111011010
01110111  ::  1111011011
01110110  ::  1111011100
01111001  ::  1111011101
01111010  ::  1111011110
01111111  ::  1111011111
01110011  ::  1111100000
01111011  ::  1111100001
01111110  ::  11111000100
01111101  ::  11111000101
10000011  ::  1111100011
01111100  ::  1111100100
10000000  ::  1111100101
10000101  ::  1111100110
10000001  ::  11111001110
10001001  ::  11111001111
10000100  ::  1111101000
10000110  ::  11111010010
10000111  ::  11111010011
10001010  ::  11111010100
10000010  ::  11111010101
10001000  ::  11111010110
10001110  ::  11111010111
10010100  ::  11111011000
10001100  ::  11111011001
10010110  ::  11111011010
10010111  ::  11111011011
10010101  ::  11111011100
10100111  ::  11111011101
10100010  ::  11111011110
10011001  ::  11111011111
10011000  ::  11111100000
10001011  ::  11111100001
10010010  ::  11111100010
10010011  ::  111111000110
10001101  ::  111111000111
10001111  ::  11111100100
10011101  ::  111111001010
10010000  ::  111111001011
10100110  ::  11111100110
10011010  ::  111111001110
10100101  ::  111111001111
10100000  ::  11111101000
10011111  ::  111111010010
10011100  ::  111111010011
10100011  ::  111111010100
10011110  ::  111111010101
10101000  ::  111111010110
10101011  ::  111111010111
10101001  ::  111111011000
10111111  ::  111111011001
10010001  ::  111111011010
10111010  ::  111111011011
10101100  ::  111111011100
11000100  ::  111111011101
11100010  ::  111111011110
10100100  ::  111111011111
10100001  ::  111111100000
11000000  ::  111111100001
10110001  ::  111111100010
10110011  ::  1111111000110
10011011  ::  1111111000111
10110010  ::  111111100100
10111100  ::  111111100101
11000001  ::  111111100110
10111101  ::  1111111001110
10101111  ::  1111111001111
11001100  ::  1111111010000
10101010  ::  1111111010001
11100110  ::  111111101001
11011101  ::  1111111010100
10110100  ::  1111111010101
11000011  ::  111111101011
10110111  ::  1111111011000
10110000  ::  1111111011001
11011010  ::  1111111011010
10111110  ::  1111111011011
11000111  ::  1111111011100
11001011  ::  1111111011101
10110110  ::  1111111011110
11001101  ::  1111111011111
10111011  ::  1111111100000
10101110  ::  1111111100001
11011111  ::  1111111100010
11000010  ::  1111111100011
10111001  ::  1111111100100
11101101  ::  1111111100101
10110101  ::  1111111100110
11001110  ::  1111111100111
11001111  ::  11111111010000
11010001  ::  11111111010001
11011000  ::  1111111101001
11011001  ::  1111111101010
11111000  ::  1111111101011
11000110  ::  11111111011000
11100001  ::  11111111011001
10111000  ::  1111111101101
11100011  ::  1111111101110
11100101  ::  1111111101111
11001000  ::  11111111100000
11000101  ::  11111111100001
11101110  ::  1111111110001
11010000  ::  1111111110010
11011100  ::  11111111100110
11001010  ::  11111111100111
11011110  ::  11111111101000
11101000  ::  11111111101001
11101011  ::  1111111110101
11010011  ::  11111111101100
11010100  ::  11111111101101
11110110  ::  1111111110111
11011011  ::  1111111111000
11101010  ::  11111111110010
11100100  ::  11111111110011
10101101  ::  11111111110100
11010111  ::  11111111110101
11101111  ::  11111111110110
11100111  ::  11111111110111
11100000  ::  11111111111000
11101100  ::  11111111111001
11110000  ::  111111111110100
11110001  ::  111111111110101
11110010  ::  11111111111011
11001001  ::  11111111111100
11010110  ::  111111111111010
11110111  ::  111111111111011
11110011  ::  111111111111100
11110101  ::  111111111111101
11010010  ::  1111111111111100
11101001  ::  1111111111111101
11010101  ::  111111111111111
