Input File Name: audio_MTF_Op.dat
Entropy: 6.110261
Total Symbols: 248

Symbol(Binary) : Relative Frequnecy
00000000 : 0.171951
00000001 : 0.075256
00000010 : 0.041885
00000011 : 0.027710
00000100 : 0.021622
00000101 : 0.018555
00000110 : 0.015671
00000111 : 0.013641
00001000 : 0.012802
00001001 : 0.012222
00001010 : 0.011398
00001011 : 0.010742
00001100 : 0.010147
00001101 : 0.009476
00001110 : 0.009399
00001111 : 0.008575
00010000 : 0.008957
00010001 : 0.008728
00010010 : 0.008392
00010011 : 0.009079
00010100 : 0.009094
00010101 : 0.008774
00010110 : 0.009644
00010111 : 0.008789
00011000 : 0.008224
00011001 : 0.008194
00011010 : 0.008682
00011011 : 0.008698
00011100 : 0.008316
00011101 : 0.008362
00011110 : 0.008072
00011111 : 0.008255
00100000 : 0.007675
00100001 : 0.007141
00100010 : 0.008636
00100011 : 0.007370
00100100 : 0.007675
00100101 : 0.006836
00100110 : 0.006989
00100111 : 0.007523
00101000 : 0.007462
00101001 : 0.006409
00101010 : 0.006851
00101011 : 0.006775
00101100 : 0.007126
00101101 : 0.006912
00101110 : 0.006500
00101111 : 0.006119
00110000 : 0.006241
00110001 : 0.006226
00110010 : 0.006180
00110011 : 0.005951
00110100 : 0.005829
00110101 : 0.006104
00110110 : 0.005463
00110111 : 0.005905
00111000 : 0.005585
00111001 : 0.005508
00111010 : 0.005600
00111011 : 0.005432
00111100 : 0.005447
00111101 : 0.005066
00111110 : 0.004807
00111111 : 0.004944
01000000 : 0.005234
01000001 : 0.004715
01000010 : 0.004761
01000011 : 0.004547
01000100 : 0.004486
01000101 : 0.004959
01000110 : 0.004288
01000111 : 0.004440
01001000 : 0.004807
01001001 : 0.004395
01001010 : 0.004333
01001011 : 0.004303
01001100 : 0.003922
01001101 : 0.003632
01001110 : 0.003616
01001111 : 0.003693
01010000 : 0.003555
01010001 : 0.003006
01010010 : 0.002884
01010011 : 0.003189
01010100 : 0.002670
01010101 : 0.002853
01010110 : 0.003052
01010111 : 0.002808
01011000 : 0.002350
01011001 : 0.002762
01011010 : 0.001999
01011011 : 0.002472
01011100 : 0.002579
01011101 : 0.002579
01011110 : 0.002304
01011111 : 0.002472
01100000 : 0.002609
01100001 : 0.002731
01100010 : 0.002029
01100011 : 0.002106
01100100 : 0.002045
01100101 : 0.002014
01100110 : 0.001404
01100111 : 0.001587
01101000 : 0.001663
01101001 : 0.001602
01101010 : 0.001617
01101011 : 0.001434
01101100 : 0.001648
01101101 : 0.001694
01101110 : 0.001297
01101111 : 0.001251
01110000 : 0.001343
01110001 : 0.001221
01110010 : 0.001282
01110011 : 0.000870
01110100 : 0.001266
01110101 : 0.001221
01110110 : 0.000992
01110111 : 0.001022
01111000 : 0.001068
01111001 : 0.000977
01111010 : 0.000931
01111011 : 0.000870
01111100 : 0.000778
01111101 : 0.000839
01111110 : 0.000839
01111111 : 0.000900
10000000 : 0.000748
10000001 : 0.000702
10000010 : 0.000580
10000011 : 0.000839
10000100 : 0.000687
10000101 : 0.000732
10000110 : 0.000671
10000111 : 0.000641
10001000 : 0.000565
10001001 : 0.000702
10001010 : 0.000595
10001011 : 0.000397
10001100 : 0.000504
10001101 : 0.000366
10001110 : 0.000565
10001111 : 0.000351
10010000 : 0.000336
10010001 : 0.000244
10010010 : 0.000381
10010011 : 0.000381
10010100 : 0.000549
10010101 : 0.000473
10010110 : 0.000504
10010111 : 0.000488
10011000 : 0.000412
10011001 : 0.000427
10011010 : 0.000336
10011011 : 0.000198
10011100 : 0.000305
10011101 : 0.000336
10011110 : 0.000290
10011111 : 0.000320
10100000 : 0.000320
10100001 : 0.000214
10100010 : 0.000427
10100011 : 0.000290
10100100 : 0.000214
10100101 : 0.000320
10100110 : 0.000336
10100111 : 0.000473
10101000 : 0.000290
10101001 : 0.000275
10101010 : 0.000168
10101011 : 0.000290
10101100 : 0.000229
10101101 : 0.000061
10101110 : 0.000122
10101111 : 0.000168
10110000 : 0.000137
10110001 : 0.000214
10110010 : 0.000198
10110011 : 0.000214
10110100 : 0.000153
10110101 : 0.000107
10110110 : 0.000122
10110111 : 0.000137
10111000 : 0.000092
10111001 : 0.000122
10111010 : 0.000229
10111011 : 0.000122
10111100 : 0.000183
10111101 : 0.000168
10111110 : 0.000122
10111111 : 0.000259
11000000 : 0.000214
11000001 : 0.000183
11000010 : 0.000122
11000011 : 0.000153
11000100 : 0.000229
11000101 : 0.000092
11000110 : 0.000092
11000111 : 0.000122
11001000 : 0.000092
11001001 : 0.000046
11001010 : 0.000076
11001011 : 0.000122
11001100 : 0.000168
11001101 : 0.000122
11001110 : 0.000107
11001111 : 0.000107
11010000 : 0.000092
11010001 : 0.000107
11010010 : 0.000015
11010011 : 0.000076
11010100 : 0.000076
11010101 : 0.000015
11010110 : 0.000046
11010111 : 0.000061
11011000 : 0.000107
11011001 : 0.000107
11011010 : 0.000137
11011011 : 0.000076
11011100 : 0.000076
11011101 : 0.000153
11011110 : 0.000076
11011111 : 0.000122
11100000 : 0.000061
11100001 : 0.000092
11100010 : 0.000229
11100011 : 0.000092
11100100 : 0.000061
11100101 : 0.000092
11100110 : 0.000168
11100111 : 0.000061
11101000 : 0.000076
11101001 : 0.000015
11101010 : 0.000061
11101011 : 0.000076
11101100 : 0.000046
11101101 : 0.000122
11101110 : 0.000092
11101111 : 0.000061
11110000 : 0.000046
11110001 : 0.000046
11110010 : 0.000046
11110011 : 0.000031
11110101 : 0.000015
11110110 : 0.000076
11110111 : 0.000031
11111000 : 0.000107
