

 Symbol   :: Code
10000001  ::  00000
01111111  ::  00001
10000000  ::  00010
10000010  ::  000110
01111110  ::  000111
10000011  ::  00100
10000100  ::  00101
10000101  ::  00110
01111101  ::  001110
01111100  ::  001111
01111011  ::  01000
10000110  ::  010010
01111010  ::  010011
10000111  ::  01010
10001000  ::  010110
01111001  ::  010111
01111000  ::  01100
01110111  ::  011010
10001001  ::  011011
10001010  ::  011100
01110110  ::  011101
01110101  ::  011110
10001011  ::  011111
10001100  ::  100000
10001101  ::  100001
01110100  ::  100010
10001110  ::  100011
01110011  ::  100100
01110010  ::  100101
10001111  ::  100110
10010000  ::  1001110
01110001  ::  1001111
10010001  ::  101000
10010010  ::  1010010
01101111  ::  1010011
01110000  ::  101010
10010011  ::  1010110
10010101  ::  1010111
10010100  ::  101100
01101101  ::  1011010
01101110  ::  1011011
10010110  ::  1011100
01101100  ::  1011101
01101010  ::  1011110
10010111  ::  1011111
01101011  ::  1100000
10011000  ::  1100001
01101001  ::  1100010
10011011  ::  11000110
10011010  ::  11000111
10011001  ::  1100100
01101000  ::  1100101
10011100  ::  1100110
01100111  ::  11001110
10011101  ::  11001111
01100101  ::  1101000
01100110  ::  11010010
01100100  ::  11010011
10011110  ::  1101010
01100010  ::  11010110
10011111  ::  11010111
01100011  ::  1101100
10100000  ::  11011010
01100001  ::  11011011
01100000  ::  11011100
01011101  ::  11011101
10100001  ::  11011110
01011100  ::  11011111
01011111  ::  11100000
10100010  ::  11100001
01011110  ::  11100010
01011011  ::  11100011
10100011  ::  11100100
01011000  ::  11100101
01010111  ::  11100110
01011001  ::  111001110
10100101  ::  111001111
10100110  ::  11101000
01011010  ::  111010010
10100100  ::  111010011
01010110  ::  11101010
01010100  ::  111010110
10100111  ::  111010111
10101000  ::  11101100
01010101  ::  111011010
01010010  ::  111011011
10101001  ::  11101110
10101010  ::  111011110
10101100  ::  111011111
01010000  ::  111100000
10101011  ::  111100001
01010011  ::  111100010
10101110  ::  111100011
01001111  ::  111100100
10101111  ::  111100101
01010001  ::  111100110
10101101  ::  111100111
01001101  ::  111101000
01001100  ::  111101001
01001110  ::  111101010
10110000  ::  1111010110
01001010  ::  1111010111
10110100  ::  111101100
01001000  ::  1111011010
01000110  ::  1111011011
01001011  ::  1111011100
10110010  ::  1111011101
10110011  ::  1111011110
01000111  ::  1111011111
01001001  ::  1111100000
01000011  ::  1111100001
01000101  ::  1111100010
10110111  ::  1111100011
00111110  ::  1111100100
10110001  ::  1111100101
01000100  ::  1111100110
10110110  ::  1111100111
10110101  ::  1111101000
01000010  ::  1111101001
00111111  ::  1111101010
01000000  ::  11111010110
10111000  ::  11111010111
00111101  ::  1111101100
01000001  ::  11111011010
10111110  ::  11111011011
10111001  ::  11111011100
00111100  ::  11111011101
10111111  ::  11111011110
00111001  ::  11111011111
00111011  ::  11111100000
11000001  ::  11111100001
11000010  ::  11111100010
