Input File Name: audio.dat
Entropy: 6.455943
Total Symbols: 249

Symbol(Binary) : Relative Frequnecy
00000000 : 0.000061
00000001 : 0.000031
00000011 : 0.000015
00001000 : 0.000015
00001010 : 0.000046
00001011 : 0.000046
00001100 : 0.000031
00001101 : 0.000076
00001110 : 0.000015
00001111 : 0.000076
00010000 : 0.000015
00010001 : 0.000046
00010010 : 0.000076
00010011 : 0.000061
00010100 : 0.000092
00010110 : 0.000061
00010111 : 0.000015
00011000 : 0.000031
00011001 : 0.000092
00011010 : 0.000061
00011011 : 0.000076
00011100 : 0.000092
00011101 : 0.000076
00011110 : 0.000137
00011111 : 0.000107
00100000 : 0.000061
00100001 : 0.000168
00100010 : 0.000076
00100011 : 0.000153
00100100 : 0.000137
00100101 : 0.000107
00100110 : 0.000061
00100111 : 0.000214
00101000 : 0.000153
00101001 : 0.000046
00101010 : 0.000107
00101011 : 0.000244
00101100 : 0.000214
00101101 : 0.000183
00101110 : 0.000198
00101111 : 0.000183
00110000 : 0.000183
00110001 : 0.000275
00110010 : 0.000336
00110011 : 0.000259
00110100 : 0.000244
00110101 : 0.000290
00110110 : 0.000229
00110111 : 0.000397
00111000 : 0.000305
00111001 : 0.000458
00111010 : 0.000381
00111011 : 0.000427
00111100 : 0.000473
00111101 : 0.000671
00111110 : 0.000900
00111111 : 0.000763
01000000 : 0.000702
01000001 : 0.000626
01000010 : 0.000793
01000011 : 0.001022
01000100 : 0.000870
01000101 : 0.000916
01000110 : 0.001190
01000111 : 0.001083
01001000 : 0.001205
01001001 : 0.001038
01001010 : 0.001343
01001011 : 0.001190
01001100 : 0.001556
01001101 : 0.001556
01001110 : 0.001541
01001111 : 0.001831
01010000 : 0.002106
01010001 : 0.001648
01010010 : 0.002533
01010011 : 0.002045
01010100 : 0.002808
01010101 : 0.002655
01010110 : 0.002808
01010111 : 0.003067
01011000 : 0.003128
01011001 : 0.002869
01011010 : 0.002823
01011011 : 0.003479
01011100 : 0.004089
01011101 : 0.004135
01011110 : 0.003769
01011111 : 0.004059
01100000 : 0.004211
01100001 : 0.004440
01100010 : 0.004929
01100011 : 0.004562
01100100 : 0.005157
01100101 : 0.005264
01100110 : 0.005203
01100111 : 0.005737
01101000 : 0.006393
01101001 : 0.006958
01101010 : 0.008026
01101011 : 0.007629
01101100 : 0.008667
01101101 : 0.009064
01101110 : 0.008881
01101111 : 0.010864
01110000 : 0.010742
01110001 : 0.012375
01110010 : 0.013504
01110011 : 0.013901
01110100 : 0.015350
01110101 : 0.016281
01110110 : 0.017197
01110111 : 0.019012
01111000 : 0.019333
01111001 : 0.020279
01111010 : 0.021530
01111011 : 0.022797
01111100 : 0.023560
01111101 : 0.023712
01111110 : 0.025421
01111111 : 0.026123
10000000 : 0.025803
10000001 : 0.026703
10000010 : 0.025772
10000011 : 0.024323
10000100 : 0.024109
10000101 : 0.024063
10000110 : 0.021957
10000111 : 0.020416
10001000 : 0.020294
10001001 : 0.018509
10001010 : 0.017807
10001011 : 0.016235
10001100 : 0.015411
10001101 : 0.015366
10001110 : 0.014145
10001111 : 0.013321
10010000 : 0.012573
10010001 : 0.011932
10010010 : 0.011017
10010011 : 0.009979
10010100 : 0.009201
10010101 : 0.009506
10010110 : 0.008698
10010111 : 0.007843
10011000 : 0.006973
10011001 : 0.006668
10011010 : 0.006683
10011011 : 0.006744
10011100 : 0.006088
10011101 : 0.005447
10011110 : 0.005142
10011111 : 0.004608
10100000 : 0.004486
10100001 : 0.004105
10100010 : 0.003891
10100011 : 0.003311
10100100 : 0.002808
10100101 : 0.002869
10100110 : 0.002838
10100111 : 0.002792
10101000 : 0.002731
10101001 : 0.002472
10101010 : 0.002228
10101011 : 0.002090
10101100 : 0.002167
10101101 : 0.001617
10101110 : 0.001846
10101111 : 0.001724
10110000 : 0.001434
10110001 : 0.000900
10110010 : 0.001144
10110011 : 0.001099
10110100 : 0.001297
10110101 : 0.000854
10110110 : 0.000854
10110111 : 0.000916
10111000 : 0.000702
10111001 : 0.000549
10111010 : 0.000351
10111011 : 0.000305
10111100 : 0.000381
10111101 : 0.000381
10111110 : 0.000565
10111111 : 0.000473
11000000 : 0.000336
11000001 : 0.000427
11000010 : 0.000412
11000011 : 0.000351
11000100 : 0.000198
11000101 : 0.000275
11000110 : 0.000168
11000111 : 0.000259
11001000 : 0.000168
11001001 : 0.000259
11001010 : 0.000153
11001011 : 0.000137
11001100 : 0.000137
11001101 : 0.000244
11001110 : 0.000122
11001111 : 0.000107
11010000 : 0.000168
11010001 : 0.000275
11010010 : 0.000122
11010011 : 0.000122
11010100 : 0.000046
11010101 : 0.000076
11010110 : 0.000122
11010111 : 0.000137
11011000 : 0.000031
11011001 : 0.000015
11011010 : 0.000046
11011011 : 0.000031
11011100 : 0.000061
11011101 : 0.000076
11011110 : 0.000061
11011111 : 0.000061
11100000 : 0.000061
11100001 : 0.000061
11100010 : 0.000061
11100011 : 0.000031
11100100 : 0.000046
11100101 : 0.000031
11100110 : 0.000015
11100111 : 0.000031
11101000 : 0.000046
11101001 : 0.000122
11101010 : 0.000061
11101011 : 0.000031
11101100 : 0.000061
11101101 : 0.000046
11101110 : 0.000015
11101111 : 0.000015
11110000 : 0.000015
11110001 : 0.000076
11110010 : 0.000031
11110011 : 0.000076
11110100 : 0.000046
11110101 : 0.000031
11110110 : 0.000031
11110111 : 0.000061
11111000 : 0.000031
11111001 : 0.000061
11111010 : 0.000015
11111011 : 0.000031
11111100 : 0.000015
11111101 : 0.000031
11111110 : 0.000046
11111111 : 0.000015
