

 Symbol   :: Code
00000001  ::  000000
00010011  ::  0000010
01000010  ::  00000110
01000000  ::  00000111
00010001  ::  0000100
01000100  ::  00001010
11100000  ::  00001011
10110001  ::  000011
11011100  ::  000100
10110111  ::  0001010
00001100  ::  0001011
11011011  ::  000110
10011101  ::  0001110
10111011  ::  00011110
11001111  ::  000111110
11010000  ::  000111111
10100110  ::  001000
00001110  ::  0010010
00010000  ::  0010011
00001111  ::  0010100
00001101  ::  0010101
00111100  ::  00101100
10010111  ::  00101101
10011110  ::  0010111
00111111  ::  00110000
11101000  ::  0011000100
11100110  ::  0011000101
11100010  ::  001100011
00001011  ::  0011001
10100111  ::  001101
10110000  ::  001110
00111110  ::  00111100
10011000  ::  00111101
10110110  ::  0011111
10101000  ::  010000
11011000  ::  0100010
00111101  ::  01000110
11010001  ::  010001110
10001000  ::  010001111
00110111  ::  01001000
00111011  ::  01001001
11011110  ::  0100101
00001010  ::  0100110
00111010  ::  01001110
10000111  ::  010011110
11101111  ::  01001111100
11110100  ::  010011111010
11111101  ::  010011111011000
11111110  ::  010011111011001
11111010  ::  01001111101101
11110111  ::  0100111110111
11101100  ::  01001111110
11101101  ::  01001111111
10101001  ::  010100
10101111  ::  010101
10101010  ::  010110
00111000  ::  01011100
10111010  ::  01011101
00001001  ::  0101111
00111001  ::  01100000
00110110  ::  01100001
10000101  ::  011000100
01111110  ::  011000101
00110001  ::  01100011
10101110  ::  011001
10101101  ::  011010
00001000  ::  0110110
10111111  ::  011011100
10000110  ::  011011101
10011001  ::  01101111
10101011  ::  011100
10101100  ::  011101
00000111  ::  0111100
10011111  ::  0111101
01111010  ::  011111000
01110111  ::  011111001
01111011  ::  011111010
10001101  ::  011111011
01111111  ::  011111100
10000001  ::  011111101
00110010  ::  01111111
01110000  ::  100000000
10001100  ::  100000001
10000011  ::  100000010
10000100  ::  100000011
00000110  ::  1000001
00110011  ::  10000100
10001111  ::  100001010
01111100  ::  100001011
00110100  ::  10000110
10001001  ::  100001110
01110011  ::  100001111
00110101  ::  10001000
10000010  ::  100010010
01111101  ::  100010011
01110101  ::  100010100
01101000  ::  100010101
01111001  ::  100010110
10001010  ::  100010111
10001110  ::  100011000
01110100  ::  100011001
10000000  ::  100011010
11001000  ::  1000110110
11001001  ::  1000110111
11011001  ::  1000111
00101101  ::  10010000
10010001  ::  100100010
10001011  ::  100100011
00000101  ::  1001001
11010100  ::  10010100
00101110  ::  10010101
00101011  ::  10010110
10010000  ::  100101110
01101110  ::  100101111
00101100  ::  10011000
01110010  ::  100110010
01101001  ::  100110011
00100101  ::  10011010
10111110  ::  100110110
01101100  ::  100110111
10110101  ::  1001110
10100000  ::  1001111
00101111  ::  10100000
00110000  ::  10100001
11101110  ::  10100010000
11110011  ::  101000100010
11110001  ::  101000100011
11000100  ::  1010001001
01110001  ::  101000101
10011010  ::  10100011
01111000  ::  101001000
01110110  ::  101001001
11000101  ::  1010010100
11000011  ::  1010010101
01101101  ::  101001011
00101001  ::  10100110
00101000  ::  10100111
01010101  ::  101010000
11010010  ::  101010001
00100110  ::  10101001
11000110  ::  1010101000
11000111  ::  1010101001
01100001  ::  101010101
00101010  ::  10101011
00100011  ::  10101100
00100111  ::  10101101
01101111  ::  101011100
01011110  ::  101011101
01011111  ::  101011110
01100110  ::  101011111
00000100  ::  1011000
10111001  ::  10110010
10010010  ::  101100110
11100101  ::  1011001110
11001010  ::  1011001111
11011111  ::  10110100
00100001  ::  10110101
01100010  ::  101101100
01101010  ::  101101101
01101011  ::  101101110
01100100  ::  101101111
10010011  ::  101110000
01100011  ::  101110001
00011111  ::  10111001
00100100  ::  10111010
11100001  ::  101110110
01010111  ::  101110111
11100100  ::  1011110000
11101011  ::  10111100010
11110010  ::  101111000110
11111111  ::  10111100011100
11111001  ::  10111100011101
11110110  ::  1011110001111
01011101  ::  101111001
01100111  ::  101111010
01100101  ::  101111011
00011100  ::  10111110
00100010  ::  10111111
10100001  ::  1100000
01100000  ::  110000100
11001011  ::  1100001010
11001100  ::  1100001011
00011110  ::  11000011
10110100  ::  1100010
11011101  ::  1100011
00100000  ::  11001000
00011101  ::  11001001
10100010  ::  1100101
01011001  ::  110011000
01011100  ::  110011001
01011010  ::  110011010
01010110  ::  110011011
10011011  ::  11001110
00011001  ::  11001111
10111101  ::  110100000
10010101  ::  110100001
00011011  ::  11010001
11000010  ::  1101001000
11101001  ::  11010010010
11101010  ::  11010010011
01011000  ::  110100101
01010001  ::  110100110
01010100  ::  110100111
10110011  ::  1101010
10010100  ::  110101100
01010011  ::  110101101
11001110  ::  1101011100
11001101  ::  1101011101
01011011  ::  110101111
10111000  ::  11011000
01001111  ::  110110010
01010010  ::  110110011
00000011  ::  1101101
00000000  ::  110111
10100011  ::  1110000
11010101  ::  11100010
01001101  ::  111000110
01001110  ::  111000111
11011010  ::  1110010
00011000  ::  11100110
01001100  ::  111001110
01001001  ::  111001111
