

 Symbol   :: Code
11100001  ::  0000000000
11011111  ::  0000000001
11101010  ::  0000000010
11110111  ::  00000000110
11111001  ::  000000001110
11111101  ::  0000000011110
11111111  ::  00000000111110
11111110  ::  00000000111111
01001001  ::  00000001
00011101  ::  0000001
00001111  ::  000001
01000111  ::  00001000
01000101  ::  00001001
11100110  ::  0000101000
11100011  ::  0000101001
11000001  ::  000010101
01001000  ::  00001011
00011100  ::  0000110
10011000  ::  00001110
11000000  ::  000011110
11000010  ::  000011111
01000010  ::  00010000
01000001  ::  00010001
00111110  ::  00010010
11100000  ::  0001001100
11011101  ::  0001001101
11011000  ::  0001001110
11011100  ::  0001001111
00001110  ::  000101
00000101  ::  00011
01000000  ::  00100000
01000011  ::  00100001
00011011  ::  0010001
01000110  ::  00100100
01000100  ::  00100101
00111001  ::  00100110
00111111  ::  00100111
11010100  ::  0010100000
11011010  ::  0010100001
10111110  ::  001010001
10111111  ::  001010010
10111011  ::  001010011
00111100  ::  00101010
00110100  ::  00101011
00001101  ::  001011
00011010  ::  0011000
00111101  ::  00110010
11011011  ::  0011001100
11110101  ::  00110011010
11111010  ::  001100110110
11111000  ::  001100110111
10111010  ::  001100111
00001100  ::  001101
00110110  ::  00111000
10110111  ::  001110010
10111000  ::  001110011
00011001  ::  0011101
00101101  ::  00111100
11001111  ::  0011110100
11010110  ::  0011110101
10111101  ::  001111011
00111000  ::  00111110
00110111  ::  00111111
00000000  ::  010
00000100  ::  01100
10111100  ::  011010000
11010001  ::  0110100010
11010010  ::  0110100011
00111010  ::  01101001
00101111  ::  01101010
00110010  ::  01101011
00110011  ::  01101100
00111011  ::  01101101
11010011  ::  0110111000
11011001  ::  0110111001
10110110  ::  011011101
00110101  ::  01101111
00000011  ::  01110
10110100  ::  011110000
10111001  ::  011110001
00110000  ::  01111001
00101110  ::  01111010
11010111  ::  0111101100
11010101  ::  0111101101
10110101  ::  011110111
00011000  ::  0111110
00110001  ::  01111110
10110010  ::  011111110
11010000  ::  0111111110
11110100  ::  01111111110
11110000  ::  01111111111
00000010  ::  10000
00001011  ::  100010
00101100  ::  10001100
10101111  ::  100011010
10110011  ::  100011011
00010111  ::  1000111
00100110  ::  10010000
00101011  ::  10010001
00101010  ::  10010010
00101000  ::  10010011
10110001  ::  100101000
10110000  ::  100101001
00101001  ::  10010101
11001101  ::  1001011000
11001110  ::  1001011001
10101110  ::  100101101
00100101  ::  10010111
00001010  ::  100110
00010110  ::  1001110
00010101  ::  1001111
00100111  ::  10100000
10101101  ::  101000010
11001100  ::  1010000110
11001001  ::  1010000111
00100100  ::  10100010
10101011  ::  101000110
11110011  ::  10100011100
11111100  ::  1010001110100
11111011  ::  1010001110101
11110110  ::  101000111011
