

 Symbol   :: Code
00000000  ::  0000
00000001  ::  0001
00000010  ::  00100
00000011  ::  00101
00000100  ::  00110
00000101  ::  00111
00000110  ::  01000
00000111  ::  010010
00001000  ::  010011
00001001  ::  010100
00001010  ::  010101
00001011  ::  010110
00001100  ::  010111
00001101  ::  011000
00001110  ::  0110010
00001111  ::  0110011
00010000  ::  011010
00010001  ::  0110110
00010010  ::  0110111
00010011  ::  0111000
00010100  ::  0111001
00010101  ::  0111010
00010110  ::  0111011
00010111  ::  0111100
00011000  ::  0111101
00011001  ::  0111110
00011010  ::  0111111
00011011  ::  1000000
00011100  ::  10000010
00011101  ::  10000011
00011111  ::  1000010
00011110  ::  10000110
00100000  ::  10000111
00100001  ::  1000100
00100010  ::  10001010
00100011  ::  10001011
00100100  ::  10001100
00100111  ::  10001101
00100101  ::  10001110
00101001  ::  10001111
00101000  ::  10010000
00101010  ::  10010001
00101011  ::  10010010
00100110  ::  10010011
00101100  ::  10010100
00110001  ::  10010101
00101110  ::  10010110
00110000  ::  10010111
00110101  ::  10011000
00111011  ::  10011001
00110011  ::  10011010
00101111  ::  10011011
00110010  ::  10011100
00111010  ::  10011101
00110111  ::  10011110
00111000  ::  100111110
00101101  ::  100111111
00110110  ::  10100000
00111101  ::  10100001
00110100  ::  10100010
00111100  ::  101000110
00111111  ::  101000111
00111001  ::  10100100
01000100  ::  10100101
01000110  ::  10100110
01000000  ::  101001110
01000011  ::  101001111
00111110  ::  10101000
01000001  ::  10101001
01000010  ::  10101010
10011000  ::  101010110
01001000  ::  101010111
01000101  ::  10101100
01000111  ::  101011010
01001001  ::  101011011
10010111  ::  10101110
01001100  ::  101011110
01010000  ::  101011111
01001011  ::  10110000
10010101  ::  101100010
10001011  ::  101100011
01010011  ::  10110010
10010011  ::  101100110
01001111  ::  101100111
01001101  ::  10110100
10010000  ::  101101010
01101001  ::  101101011
01010010  ::  10110110
01011111  ::  101101110
01001110  ::  101101111
01010001  ::  10111000
10011100  ::  101110010
01011000  ::  101110011
10011001  ::  10111010
01001010  ::  101110110
01011001  ::  101110111
01101000  ::  101111000
10011110  ::  101111001
10100100  ::  10111101
10001101  ::  10111110
01011100  ::  101111110
10100010  ::  101111111
01101011  ::  11000000
01111000  ::  110000010
10011111  ::  110000011
10011010  ::  11000010
10011101  ::  110000110
10000011  ::  110000111
01111100  ::  11000100
01010101  ::  110001010
01010110  ::  110001011
01100100  ::  11000110
01010111  ::  110001110
01110001  ::  110001111
10100011  ::  11001000
10001110  ::  110010010
01101010  ::  110010011
10001100  ::  11001010
01100001  ::  110010110
01110000  ::  110010111
10000111  ::  11001100
01011110  ::  110011010
10010110  ::  110011011
01011101  ::  110011100
01100111  ::  110011101
01111111  ::  110011110
01110100  ::  110011111
01101111  ::  11010000
01100110  ::  110100010
01111110  ::  110100011
01101101  ::  110100100
01111011  ::  110100101
10100111  ::  11010011
01111001  ::  11010100
10001000  ::  110101010
01101100  ::  110101011
10100110  ::  110101100
01100101  ::  110101101
01100010  ::  110101110
10100000  ::  110101111
10000000  ::  11011000
01100000  ::  110110010
10000010  ::  110110011
01111010  ::  11011010
10101000  ::  110110110
10101001  ::  110110111
01011011  ::  11011100
10010100  ::  110111010
10011011  ::  110111011
01011010  ::  110111100
10000101  ::  110111101
10001010  ::  110111110
01110010  ::  110111111
10100101  ::  11100000
01110110  ::  111000010
01110011  ::  111000011
10010010  ::  111000100
10001001  ::  111000101
01100011  ::  111000110
10000110  ::  111000111
01010100  ::  11100100
10100001  ::  111001010
01101110  ::  111001011
10101010  ::  111001100
01111101  ::  111001101
01110111  ::  111001110
10000100  ::  111001111
01110101  ::  11101000
10010001  ::  111010010
10001111  ::  111010011
10101100  ::  111010100
10000001  ::  111010101
10101011  ::  111010110
10101101  ::  111010111
10101110  ::  111011000
10110000  ::  111011001
10110001  ::  111011010
10110011  ::  111011011
10101111  ::  111011100
10110010  ::  111011101
10110101  ::  111011110
10110100  ::  111011111
10111001  ::  111100000
10110110  ::  111100001
10111100  ::  111100010
10111101  ::  1111000110
10111000  ::  1111000111
10110111  ::  111100100
10111010  ::  111100101
10111011  ::  111100110
10111111  ::  1111001110
10111110  ::  1111001111
11000010  ::  111101000
11000000  ::  111101001
11000001  ::  111101010
11000100  ::  1111010110
11000011  ::  1111010111
11000110  ::  111101100
11000101  ::  1111011010
11001010  ::  1111011011
11000111  ::  1111011100
11001011  ::  1111011101
11001000  ::  1111011110
11001001  ::  1111011111
11001100  ::  1111100000
11001110  ::  1111100001
11001101  ::  1111100010
11010000  ::  1111100011
11010101  ::  1111100100
11010111  ::  1111100101
11010010  ::  11111001100
11010011  ::  11111001101
11011001  ::  1111100111
11010001  ::  1111101000
11010110  ::  1111101001
11001111  ::  1111101010
11011011  ::  11111010110
11011010  ::  11111010111
11010100  ::  1111101100
11011100  ::  1111101101
11011000  ::  1111101110
11011101  ::  11111011110
11100000  ::  11111011111
11100011  ::  1111110000
11100110  ::  11111100010
11011111  ::  11111100011
11101010  ::  1111110010
11100001  ::  11111100110
11100100  ::  11111100111
11100101  ::  1111110100
11101101  ::  11111101010
11011110  ::  11111101011
11101011  ::  1111110110
11101001  ::  11111101110
11101000  ::  11111101111
11100010  ::  1111111000
11101110  ::  11111110010
11110001  ::  11111110011
11100111  ::  11111110100
11101100  ::  11111110101
11110010  ::  1111111011
11101111  ::  11111111000
11110011  ::  11111111001
11110000  ::  11111111010
11110100  ::  11111111011
11110101  ::  11111111100
11110111  ::  111111111010
11110110  ::  111111111011
11111000  ::  111111111100
11111010  ::  1111111111010
11111001  ::  1111111111011
11111011  ::  1111111111100
11111100  ::  1111111111101
11111101  ::  1111111111110
11111110  ::  11111111111110
11111111  ::  11111111111111
