Input File Name: image_MTF_Op.dat
Entropy: 6.956988
Total Symbols: 256

Symbol(Binary) : Relative Frequnecy
00000000 : 0.104282
00000001 : 0.039337
00000010 : 0.029243
00000011 : 0.027878
00000100 : 0.027138
00000101 : 0.024178
00000110 : 0.021999
00000111 : 0.019920
00001000 : 0.018589
00001001 : 0.016884
00001010 : 0.015827
00001011 : 0.014671
00001100 : 0.013138
00001101 : 0.012951
00001110 : 0.011982
00001111 : 0.011299
00010000 : 0.010754
00010001 : 0.010704
00010010 : 0.009659
00010011 : 0.009480
00010100 : 0.008766
00010101 : 0.008026
00010110 : 0.007988
00010111 : 0.007526
00011000 : 0.007114
00011001 : 0.006676
00011010 : 0.006535
00011011 : 0.006054
00011100 : 0.005775
00011101 : 0.005520
00011110 : 0.005135
00011111 : 0.005299
00100000 : 0.005024
00100001 : 0.004745
00100010 : 0.004387
00100011 : 0.004372
00100100 : 0.004112
00100101 : 0.004002
00100110 : 0.003788
00100111 : 0.004032
00101000 : 0.003883
00101001 : 0.003922
00101010 : 0.003876
00101011 : 0.003788
00101100 : 0.003670
00101101 : 0.003342
00101110 : 0.003487
00101111 : 0.003387
00110000 : 0.003483
00110001 : 0.003571
00110010 : 0.003387
00110011 : 0.003387
00110100 : 0.003227
00110101 : 0.003426
00110110 : 0.003304
00110111 : 0.003365
00111000 : 0.003357
00111001 : 0.003082
00111010 : 0.003384
00111011 : 0.003407
00111100 : 0.003208
00111101 : 0.003296
00111110 : 0.002995
00111111 : 0.003151
01000000 : 0.003017
01000001 : 0.002991
01000010 : 0.002975
01000011 : 0.003017
01000100 : 0.003036
01000101 : 0.002842
01000110 : 0.003033
01000111 : 0.002808
01001000 : 0.002872
01001001 : 0.002769
01001010 : 0.002571
01001011 : 0.002701
01001100 : 0.002712
01001101 : 0.002659
01001110 : 0.002598
01001111 : 0.002659
01010000 : 0.002708
01010001 : 0.002598
01010010 : 0.002625
01010011 : 0.002670
01010100 : 0.002304
01010101 : 0.002495
01010110 : 0.002495
01010111 : 0.002491
01011000 : 0.002579
01011001 : 0.002571
01011010 : 0.002350
01011011 : 0.002365
01011100 : 0.002548
01011101 : 0.002445
01011110 : 0.002449
01011111 : 0.002602
01100000 : 0.002392
01100001 : 0.002453
01100010 : 0.002396
01100011 : 0.002312
01100100 : 0.002495
01100101 : 0.002399
01100110 : 0.002419
01100111 : 0.002441
01101000 : 0.002556
01101001 : 0.002651
01101010 : 0.002468
01101011 : 0.002544
01101100 : 0.002403
01101101 : 0.002411
01101110 : 0.002296
01101111 : 0.002422
01110000 : 0.002453
01110001 : 0.002487
01110010 : 0.002335
01110011 : 0.002327
01110100 : 0.002426
01110101 : 0.002235
01110110 : 0.002327
01110111 : 0.002254
01111000 : 0.002529
01111001 : 0.002407
01111010 : 0.002380
01111011 : 0.002411
01111100 : 0.002499
01111101 : 0.002281
01111110 : 0.002419
01111111 : 0.002438
10000000 : 0.002392
10000001 : 0.002171
10000010 : 0.002388
10000011 : 0.002502
10000100 : 0.002247
10000101 : 0.002350
10000110 : 0.002312
10000111 : 0.002453
10001000 : 0.002407
10001001 : 0.002316
10001010 : 0.002338
10001011 : 0.002670
10001100 : 0.002468
10001101 : 0.002548
10001110 : 0.002472
10001111 : 0.002220
10010000 : 0.002655
10010001 : 0.002224
10010010 : 0.002319
10010011 : 0.002666
10010100 : 0.002365
10010101 : 0.002674
10010110 : 0.002445
10010111 : 0.002712
10011000 : 0.002880
10011001 : 0.002575
10011010 : 0.002525
10011011 : 0.002361
10011100 : 0.002598
10011101 : 0.002522
10011110 : 0.002556
10011111 : 0.002529
10100000 : 0.002392
10100001 : 0.002304
10100010 : 0.002544
10100011 : 0.002480
10100100 : 0.002556
10100101 : 0.002331
10100110 : 0.002399
10100111 : 0.002411
10101000 : 0.002377
10101001 : 0.002369
10101010 : 0.002285
10101011 : 0.002060
10101100 : 0.002193
10101101 : 0.002045
10101110 : 0.002003
10101111 : 0.001888
10110000 : 0.001957
10110001 : 0.001934
10110010 : 0.001781
10110011 : 0.001892
10110100 : 0.001720
10110101 : 0.001747
10110110 : 0.001713
10110111 : 0.001663
10111000 : 0.001663
10111001 : 0.001720
10111010 : 0.001656
10111011 : 0.001602
10111100 : 0.001682
10111101 : 0.001678
10111110 : 0.001583
10111111 : 0.001591
11000000 : 0.001450
11000001 : 0.001431
11000010 : 0.001469
11000011 : 0.001328
11000100 : 0.001328
11000101 : 0.001301
11000110 : 0.001328
11000111 : 0.001160
11001000 : 0.001106
11001001 : 0.001026
11001010 : 0.001171
11001011 : 0.001114
11001100 : 0.001022
11001101 : 0.000980
11001110 : 0.000980
11001111 : 0.000835
11010000 : 0.000904
11010001 : 0.000843
11010010 : 0.000847
11010011 : 0.000847
11010100 : 0.000786
11010101 : 0.000889
11010110 : 0.000839
11010111 : 0.000851
11011000 : 0.000763
11011001 : 0.000847
11011010 : 0.000793
11011011 : 0.000816
11011100 : 0.000763
11011101 : 0.000759
11011110 : 0.000660
11011111 : 0.000687
11100000 : 0.000729
11100001 : 0.000683
11100010 : 0.000603
11100011 : 0.000717
11100100 : 0.000679
11100101 : 0.000668
11100110 : 0.000694
11100111 : 0.000580
11101000 : 0.000629
11101001 : 0.000641
11101010 : 0.000687
11101011 : 0.000652
11101100 : 0.000580
11101101 : 0.000668
11101110 : 0.000595
11101111 : 0.000568
