

 Symbol   :: Code
00000000  ::  000000
10101100  ::  000001
10101011  ::  000010
10101101  ::  000011
10101110  ::  000100
10101010  ::  000101
10101111  ::  000110
10101001  ::  0001110
10101000  ::  0001111
10110000  ::  001000
10100111  ::  001001
10100110  ::  001010
11011011  ::  0010110
11011100  ::  0010111
10110001  ::  001100
00000001  ::  001101
10100101  ::  001110
10110010  ::  0011110
10100100  ::  0011111
00000010  ::  010000
11011010  ::  0100010
10100011  ::  0100011
00000011  ::  010010
10110011  ::  0100110
10100010  ::  0100111
11011101  ::  0101000
10110100  ::  0101001
10100001  ::  0101010
00000100  ::  0101011
10100000  ::  0101100
10110101  ::  0101101
00000101  ::  0101110
11011001  ::  0101111
00000110  ::  0110000
10011111  ::  0110001
00000111  ::  0110010
00001000  ::  0110011
00001001  ::  0110100
00001010  ::  0110101
11011110  ::  0110110
10110110  ::  01101110
11011000  ::  01101111
00001011  ::  0111000
10011110  ::  0111001
00001101  ::  0111010
00001111  ::  01110110
00010000  ::  01110111
00001110  ::  0111100
00001100  ::  0111101
10011101  ::  0111110
10110111  ::  01111110
00010001  ::  01111111
00010011  ::  1000000
00010010  ::  1000001
00010101  ::  1000010
11010111  ::  10000110
11010110  ::  10000111
00010111  ::  1000100
00010100  ::  10001010
00010110  ::  10001011
10011100  ::  1000110
00011010  ::  10001110
00011000  ::  10001111
11010101  ::  1001000
10111000  ::  10010010
00011011  ::  10010011
00011001  ::  10010100
10011011  ::  10010101
00011101  ::  10010110
00100000  ::  10010111
00011110  ::  1001100
00100010  ::  10011010
00011100  ::  10011011
00100100  ::  10011100
00011111  ::  10011101
00100001  ::  10011110
11011111  ::  10011111
10111001  ::  10100000
00100111  ::  10100001
00100011  ::  10100010
00101010  ::  10100011
00100110  ::  10100100
00101000  ::  10100101
00101001  ::  10100110
10011010  ::  10100111
00110000  ::  10101000
00101111  ::  10101001
00100101  ::  10101010
00101100  ::  10101011
00101011  ::  10101100
00101110  ::  10101101
11010100  ::  10101110
00101101  ::  10101111
00110101  ::  10110000
00110100  ::  10110001
00110011  ::  10110010
00110010  ::  10110011
10011001  ::  10110100
00110001  ::  10110101
00110110  ::  10110110
00111001  ::  101101110
10111010  ::  101101111
00111000  ::  10111000
00111010  ::  10111001
00111011  ::  10111010
00110111  ::  10111011
00111101  ::  10111100
10011000  ::  10111101
00111110  ::  10111110
00111111  ::  101111110
10010111  ::  101111111
00111100  ::  11000000
10111011  ::  11000001
11100000  ::  11000010
01000100  ::  110000110
01000000  ::  110000111
01000010  ::  11000100
01000001  ::  110001010
01000011  ::  110001011
01000101  ::  11000110
01000110  ::  110001110
01001000  ::  110001111
11010011  ::  11001000
01000111  ::  110010010
01001010  ::  110010011
10111100  ::  11001010
10010110  ::  110010110
01010000  ::  110010111
01001011  ::  11001100
01001001  ::  110011010
01001100  ::  110011011
01001110  ::  11001110
01001101  ::  110011110
01010010  ::  110011111
01001111  ::  11010000
01011011  ::  110100010
01010011  ::  110100011
10010100  ::  11010010
01010100  ::  110100110
01010001  ::  110100111
01011000  ::  11010100
10010101  ::  110101010
10111101  ::  110101011
01010110  ::  110101100
01011010  ::  110101101
01011100  ::  110101110
01011001  ::  110101111
01100000  ::  11011000
01100101  ::  110110010
01100111  ::  110110011
01011101  ::  110110100
01010111  ::  110110101
11100001  ::  110110110
01100011  ::  110110111
10010011  ::  11011100
01100100  ::  110111010
01101010  ::  110111011
01101011  ::  110111100
01100010  ::  110111101
10010010  ::  110111110
01100110  ::  110111111
01011111  ::  11100000
01011110  ::  111000010
01101111  ::  111000011
01100001  ::  111000100
11010010  ::  111000101
01010101  ::  111000110
01101101  ::  111000111
01110110  ::  111001000
01110001  ::  111001001
01111000  ::  111001010
01101100  ::  111001011
10111110  ::  111001100
01101001  ::  111001101
01110010  ::  111001110
01101110  ::  111001111
10010000  ::  111010000
10001011  ::  111010001
10010001  ::  111010010
01110100  ::  111010011
10000000  ::  111010100
10001110  ::  111010101
10001010  ::  111010110
01111001  ::  111010111
01101000  ::  111011000
01110101  ::  111011001
01111101  ::  111011010
01110011  ::  111011011
10000010  ::  111011100
01111100  ::  111011101
10001001  ::  111011110
10001111  ::  1110111110
10000100  ::  1110111111
10000011  ::  111100000
10001100  ::  111100001
01110000  ::  111100010
10000001  ::  111100011
01111111  ::  111100100
10001101  ::  111100101
01110111  ::  111100110
01111011  ::  111100111
01111010  ::  111101000
10000110  ::  111101001
10111111  ::  111101010
01111110  ::  111101011
10000101  ::  111101100
10000111  ::  111101101
10001000  ::  111101110
11010001  ::  1111011110
11100010  ::  1111011111
11010000  ::  111110000
11001111  ::  111110001
11000000  ::  111110010
11100011  ::  1111100110
11000001  ::  1111100111
11001101  ::  111110100
11001110  ::  1111101010
11000010  ::  1111101011
11001100  ::  1111101100
11001011  ::  1111101101
11001010  ::  1111101110
11100100  ::  1111101111
11100101  ::  1111110000
11000111  ::  1111110001
11000110  ::  1111110010
11000011  ::  1111110011
11000101  ::  1111110100
11000100  ::  1111110101
11001001  ::  1111110110
11001000  ::  1111110111
11100110  ::  1111111000
11101000  ::  11111110010
11100111  ::  11111110011
11101010  ::  1111111010
11101001  ::  11111110110
11101011  ::  11111110111
11101110  ::  11111111000
11101101  ::  11111111001
11101100  ::  11111111010
11101111  ::  111111110110
11110000  ::  111111110111
11110010  ::  111111111000
11110001  ::  111111111001
11110011  ::  111111111010
11110100  ::  111111111011
11110101  ::  111111111100
11110110  ::  1111111111010
11110111  ::  1111111111011
11111000  ::  1111111111100
11111001  ::  11111111111010
11111111  ::  11111111111011
11111010  ::  11111111111100
11111100  ::  11111111111101
11111011  ::  11111111111110
