Input File Name: image.dat.raw
Entropy: 7.518735
Total Symbols: 256

Symbol(Binary) : Relative Frequnecy
00000000 : 0.020096
00000001 : 0.011620
00000010 : 0.010693
00000011 : 0.009911
00000100 : 0.008396
00000101 : 0.007809
00000110 : 0.007397
00000111 : 0.007198
00001000 : 0.007187
00001001 : 0.006969
00001010 : 0.006702
00001011 : 0.006256
00001100 : 0.006001
00001101 : 0.006123
00001110 : 0.006065
00001111 : 0.006107
00010000 : 0.006092
00010001 : 0.005939
00010010 : 0.005646
00010011 : 0.005795
00010100 : 0.005322
00010101 : 0.005627
00010110 : 0.005291
00010111 : 0.005322
00011000 : 0.005142
00011001 : 0.004761
00011010 : 0.005219
00011011 : 0.004799
00011100 : 0.004505
00011101 : 0.004597
00011110 : 0.004543
00011111 : 0.004326
00100000 : 0.004578
00100001 : 0.004295
00100010 : 0.004520
00100011 : 0.004169
00100100 : 0.004333
00100101 : 0.003983
00100110 : 0.004150
00100111 : 0.004185
00101000 : 0.004120
00101001 : 0.004108
00101010 : 0.004162
00101011 : 0.003941
00101100 : 0.003956
00101101 : 0.003849
00101110 : 0.003929
00101111 : 0.004009
00110000 : 0.004009
00110001 : 0.003578
00110010 : 0.003670
00110011 : 0.003716
00110100 : 0.003738
00110101 : 0.003757
00110110 : 0.003521
00110111 : 0.003315
00111000 : 0.003475
00111001 : 0.003513
00111010 : 0.003376
00111011 : 0.003330
00111100 : 0.003075
00111101 : 0.003242
00111110 : 0.003174
00111111 : 0.003094
01000000 : 0.002949
01000001 : 0.002831
01000010 : 0.002914
01000011 : 0.002831
01000100 : 0.002972
01000101 : 0.002831
01000110 : 0.002804
01000111 : 0.002785
01001000 : 0.002804
01001001 : 0.002590
01001010 : 0.002697
01001011 : 0.002605
01001100 : 0.002583
01001101 : 0.002548
01001110 : 0.002560
01001111 : 0.002480
01010000 : 0.002632
01010001 : 0.002422
01010010 : 0.002487
01010011 : 0.002445
01010100 : 0.002426
01010101 : 0.002060
01010110 : 0.002361
01010111 : 0.002174
01011000 : 0.002419
01011001 : 0.002296
01011010 : 0.002327
01011011 : 0.002476
01011100 : 0.002312
01011101 : 0.002190
01011110 : 0.002094
01011111 : 0.002098
01100000 : 0.002243
01100001 : 0.002083
01100010 : 0.002151
01100011 : 0.002163
01100100 : 0.002155
01100101 : 0.002228
01100110 : 0.002106
01100111 : 0.002220
01101000 : 0.001896
01101001 : 0.001991
01101010 : 0.002151
01101011 : 0.002151
01101100 : 0.001999
01101101 : 0.002052
01101110 : 0.001976
01101111 : 0.002090
01110000 : 0.001835
01110001 : 0.002022
01110010 : 0.001984
01110011 : 0.001877
01110100 : 0.001923
01110101 : 0.001884
01110110 : 0.002037
01110111 : 0.001816
01111000 : 0.002022
01111001 : 0.001900
01111010 : 0.001812
01111011 : 0.001816
01111100 : 0.001869
01111101 : 0.001881
01111110 : 0.001770
01111111 : 0.001827
10000000 : 0.001923
10000001 : 0.001831
10000010 : 0.001877
10000011 : 0.001842
10000100 : 0.001846
10000101 : 0.001755
10000110 : 0.001801
10000111 : 0.001705
10001000 : 0.001659
10001001 : 0.001869
10001010 : 0.001904
10001011 : 0.001945
10001100 : 0.001839
10001101 : 0.001820
10001110 : 0.001904
10001111 : 0.001865
10010000 : 0.001968
10010001 : 0.001934
10010010 : 0.002117
10010011 : 0.002155
10010100 : 0.002430
10010101 : 0.002388
10010110 : 0.002678
10010111 : 0.003075
10011000 : 0.003181
10011001 : 0.003601
10011010 : 0.004036
10011011 : 0.004692
10011100 : 0.005234
10011101 : 0.006001
10011110 : 0.006195
10011111 : 0.007263
10100000 : 0.008003
10100001 : 0.009037
10100010 : 0.009193
10100011 : 0.010189
10100100 : 0.010933
10100101 : 0.011456
10100110 : 0.012104
10100111 : 0.012577
10101000 : 0.013039
10101001 : 0.013554
10101010 : 0.013897
10101011 : 0.014389
10101100 : 0.014397
10101101 : 0.014282
10101110 : 0.014160
10101111 : 0.013577
10110000 : 0.012585
10110001 : 0.011951
10110010 : 0.011208
10110011 : 0.009792
10110100 : 0.009083
10110101 : 0.007988
10110110 : 0.006546
10110111 : 0.005981
10111000 : 0.004940
10111001 : 0.004211
10111010 : 0.003479
10111011 : 0.003021
10111100 : 0.002693
10111101 : 0.002377
10111110 : 0.001995
10111111 : 0.001789
11000000 : 0.001404
11000001 : 0.001316
11000010 : 0.001198
11000011 : 0.001034
11000100 : 0.001011
11000101 : 0.001015
11000110 : 0.001034
11000111 : 0.001041
11001000 : 0.000950
11001001 : 0.000973
11001010 : 0.001083
11001011 : 0.001118
11001100 : 0.001175
11001101 : 0.001236
11001110 : 0.001225
11001111 : 0.001472
11010000 : 0.001553
11010001 : 0.001644
11010010 : 0.002068
11010011 : 0.002800
11010100 : 0.003899
11010101 : 0.005100
11010110 : 0.005322
11010111 : 0.005604
11011000 : 0.006546
11011001 : 0.007706
11011010 : 0.010258
11011011 : 0.012012
11011100 : 0.011959
11011101 : 0.009113
11011110 : 0.006672
11011111 : 0.004280
11100000 : 0.002995
11100001 : 0.002167
11100010 : 0.001568
11100011 : 0.001331
11100100 : 0.001083
11100101 : 0.001045
11100110 : 0.000813
11100111 : 0.000736
11101000 : 0.000740
11101001 : 0.000584
11101010 : 0.000614
11101011 : 0.000538
11101100 : 0.000454
11101101 : 0.000481
11101110 : 0.000484
11101111 : 0.000385
