

 Symbol   :: Code
01100101  ::  000
01100111  ::  00100
01000001  ::  0010100000
01001100  ::  0010100001
01000011  ::  00101000100
01000100  ::  00101000101
01000110  ::  00101000110
01000111  ::  00101000111
00100111  ::  00101001
01001101  ::  00101010000
01010000  ::  00101010001
01110001  ::  00101010010
01111010  ::  00101010011
00110001  ::  001010101
10000000  ::  00101011000
11100010  ::  00101011001
01010111  ::  0010101101
00101101  ::  001010111
01100011  ::  001011
01110011  ::  0011
01101110  ::  0100
01101001  ::  0101
01111001  ::  01100
01101011  ::  0110100
00101100  ::  0110101
00101110  ::  011011
01100001  ::  0111
01100110  ::  100000
01110000  ::  100001
01110101  ::  10001
01101100  ::  10010
01101000  ::  10011
01110100  ::  1010
01101111  ::  1011
00100010  ::  11000000000
01001111  ::  11000000001
00110011  ::  110000000100
00110100  ::  110000000101
00110101  ::  110000000110
00110110  ::  110000000111
00110111  ::  110000001000
00111000  ::  110000001001
00111001  ::  110000001010
01001011  ::  110000001011
10010100  ::  110000001100
00100001  ::  1100000011010
00111010  ::  1100000011011
00111111  ::  1100000011100
01000101  ::  1100000011101
01010110  ::  1100000011110
10011001  ::  1100000011111
01001001  ::  11000001
01010100  ::  110000100
01010011  ::  1100001010
00110010  ::  11000010110
01000010  ::  11000010111
01001000  ::  11000011000
01011001  ::  11000011001
01111000  ::  11000011010
00110000  ::  11000011011
01001110  ::  1100001110
01101010  ::  1100001111
01101101  ::  110001
01110010  ::  11001
01110111  ::  110100
00001010  ::  110101
01100100  ::  110110
01110110  ::  1101110
01100010  ::  1101111
00100000  ::  111
