

 Symbol   :: Code
00001001  ::  0000
00010011  ::  00010
00010101  ::  00011
00001000  ::  0010
00010001  ::  00110
00000001  ::  00111
00000111  ::  0100
00010000  ::  01010
00011000  ::  010110
00100111  ::  0101110000
00110101  ::  0101110001
00111101  ::  01011100100
00101101  ::  01011100101
00100110  ::  0101110011
01000000  ::  0101110100
00110001  ::  01011101010
00111110  ::  01011101011
01000010  ::  01011101100
01000100  ::  01011101101
01000101  ::  01011101110
00110010  ::  010111011110
00110000  ::  0101110111110
00111000  ::  0101110111111
00011011  ::  0101111
00000110  ::  0110
00001111  ::  01110
00001110  ::  01111
00000101  ::  1000
00000010  ::  1001
00001101  ::  10100
00011010  ::  1010100
00011110  ::  10101010
00011111  ::  10101011
00010100  ::  101011
00001100  ::  10110
00001011  ::  10111
00000100  ::  1100
00010111  ::  110100
00100010  ::  110101000
00100101  ::  1101010010
00100100  ::  11010100110
00101000  ::  11010100111
00011101  ::  11010101
00101011  ::  11010110000
00101100  ::  11010110001
00110111  ::  11010110010
01000001  ::  11010110011
01000011  ::  11010110100
00101001  ::  11010110101
00100011  ::  1101011011
00100001  ::  110101110
00101111  ::  11010111100
00110100  ::  11010111101
00111001  ::  11010111110
00111100  ::  11010111111
00001010  ::  11011
00000011  ::  1110
00010110  ::  111100
00010010  ::  111101
00011001  ::  1111100
00111111  ::  11111010000
00101010  ::  111110100010
00101110  ::  111110100011
00110011  ::  111110100100
00110110  ::  111110100101
00111010  ::  111110100110
00111011  ::  111110100111
00100000  ::  111110101
00011100  ::  11111011
00000000  ::  111111
