

 Symbol   :: Code
00000011  ::  000
00000100  ::  0010
00000010  ::  0011
00000101  ::  0100
00000110  ::  0101
00000111  ::  0110
00001000  ::  01110
00001001  ::  01111
00001010  ::  1000
00001011  ::  10010
00001100  ::  10011
00001101  ::  10100
00001110  ::  10101
00001111  ::  10110
00010000  ::  101110
00000001  ::  101111
00010001  ::  11000
00010101  ::  110010
00010011  ::  110011
00000000  ::  11010
00010010  ::  110110
00010110  ::  110111
00010111  ::  111000
00010100  ::  111001
00011000  ::  111010
00011001  ::  111011
00011010  ::  1111000
00011011  ::  1111001
00011100  ::  1111010
00011101  ::  11110110
00011111  ::  11110111
00011110  ::  11111000
00100000  ::  11111001
00100001  ::  111110100
00100010  ::  111110101
00100011  ::  1111101100
00100101  ::  1111101101
00100110  ::  1111101110
01000000  ::  1111101111
00110101  ::  1111110000
00100111  ::  1111110001
00110100  ::  11111100100
00101001  ::  11111100101
00111001  ::  1111110011
00111100  ::  11111101000
00111111  ::  11111101001
00101111  ::  1111110101
00110111  ::  11111101100
00101100  ::  11111101101
00101000  ::  1111110111
00100100  ::  11111110000
00101011  ::  11111110001
01000001  ::  11111110010
01000011  ::  11111110011
00101101  ::  11111110100
00111110  ::  11111110101
01000010  ::  11111110110
00110001  ::  11111110111
01000100  ::  11111111000
01000101  ::  11111111001
00110011  ::  111111110100
00101010  ::  111111110101
00111010  ::  11111111011
00111011  ::  111111111000
00101110  ::  111111111001
00111101  ::  11111111101
00110110  ::  11111111110
00110010  ::  111111111110
00111000  ::  1111111111110
00110000  ::  1111111111111
