Input File Name: text_MTF_Op.dat
Entropy: 4.858358
Total Symbols: 70

Symbol(Binary) : Relative Frequnecy
00000000 : 0.022746
00000001 : 0.025617
00000010 : 0.062952
00000011 : 0.080069
00000100 : 0.074899
00000101 : 0.061459
00000110 : 0.057323
00000111 : 0.052384
00001000 : 0.048018
00001001 : 0.045606
00001010 : 0.039518
00001011 : 0.038599
00001100 : 0.035612
00001101 : 0.031017
00001110 : 0.030787
00001111 : 0.028604
00010000 : 0.026881
00010001 : 0.024009
00010010 : 0.022056
00010011 : 0.022975
00010100 : 0.018725
00010101 : 0.023435
00010110 : 0.021137
00010111 : 0.019529
00011000 : 0.014130
00011001 : 0.010913
00011010 : 0.007582
00011011 : 0.007122
00011100 : 0.005744
00011101 : 0.004825
00011110 : 0.004136
00011111 : 0.004250
00100000 : 0.002872
00100001 : 0.002757
00100010 : 0.002183
00100011 : 0.001264
00100100 : 0.000574
00100101 : 0.001034
00100110 : 0.000919
00100111 : 0.000804
00101000 : 0.000574
00101001 : 0.000689
00101010 : 0.000345
00101011 : 0.000574
00101100 : 0.000574
00101101 : 0.000460
00101110 : 0.000345
00101111 : 0.000689
00110000 : 0.000115
00110001 : 0.000460
00110010 : 0.000230
00110011 : 0.000345
00110100 : 0.000689
00110101 : 0.000804
00110110 : 0.000345
00110111 : 0.000574
00111000 : 0.000115
00111001 : 0.000689
00111010 : 0.000345
00111011 : 0.000345
00111100 : 0.000689
00111101 : 0.000345
00111110 : 0.000460
00111111 : 0.000689
01000000 : 0.000919
01000001 : 0.000574
01000010 : 0.000460
01000011 : 0.000574
01000100 : 0.000460
01000101 : 0.000460
