

 Symbol   :: Code
00100000  ::  000
01100101  ::  001
01101111  ::  0100
01110100  ::  0101
01100001  ::  0110
01101001  ::  0111
01101110  ::  1000
01110011  ::  1001
01110010  ::  10100
01101000  ::  10101
01101100  ::  10110
01110101  ::  10111
01111001  ::  11000
01100111  ::  110010
01100100  ::  110011
00001010  ::  11010
01110111  ::  110110
01101101  ::  110111
01110000  ::  111000
01100110  ::  111001
00101110  ::  111010
01100011  ::  111011
01100010  ::  1111000
01110110  ::  1111001
00101100  ::  1111010
01101011  ::  1111011
01001001  ::  11111000
00100111  ::  11111001
01010100  ::  111110100
00101101  ::  111110101
00110001  ::  111110110
01101010  ::  1111101110
01001110  ::  1111101111
01010011  ::  1111110000
01010111  ::  1111110001
01000001  ::  1111110010
00110000  ::  1111110011
01001100  ::  1111110100
01011001  ::  11111101010
00110010  ::  11111101011
01000010  ::  11111101100
01111000  ::  11111101101
01001000  ::  1111110111
00100010  ::  11111110000
01001111  ::  11111110001
01000111  ::  111111100100
01000011  ::  111111100101
01010000  ::  11111110011
01000100  ::  111111101000
01000110  ::  111111101001
01110001  ::  11111110101
01001101  ::  11111110110
01111010  ::  11111110111
10000000  ::  11111111000
11100010  ::  111111110010
00111001  ::  111111110011
00110011  ::  111111110100
01001011  ::  111111110101
00110100  ::  111111110110
00110101  ::  111111110111
00110110  ::  111111111000
00110111  ::  111111111001
10010100  ::  111111111010
00111000  ::  111111111011
00111111  ::  1111111111000
00100001  ::  1111111111001
01000101  ::  111111111101
01010110  ::  1111111111100
10011001  ::  1111111111101
00111010  ::  111111111111
