Input File Name: text.dat
Entropy: 4.439411
Total Symbols: 70

Symbol(Binary) : Relative Frequnecy
00001010 : 0.021367
00100000 : 0.168064
00100001 : 0.000115
00100010 : 0.000460
00100111 : 0.002872
00101100 : 0.007007
00101101 : 0.001608
00101110 : 0.013555
00110000 : 0.000689
00110001 : 0.001493
00110010 : 0.000574
00110011 : 0.000230
00110100 : 0.000230
00110101 : 0.000230
00110110 : 0.000230
00110111 : 0.000230
00111000 : 0.000230
00111001 : 0.000230
00111010 : 0.000115
00111111 : 0.000115
01000001 : 0.000689
01000010 : 0.000574
01000011 : 0.000345
01000100 : 0.000345
01000101 : 0.000115
01000110 : 0.000345
01000111 : 0.000345
01001000 : 0.000574
01001001 : 0.003906
01001011 : 0.000230
01001100 : 0.000689
01001101 : 0.000345
01001110 : 0.001379
01001111 : 0.000460
01010000 : 0.000345
01010011 : 0.001149
01010100 : 0.001953
01010110 : 0.000115
01010111 : 0.000804
01011001 : 0.000574
01100001 : 0.056634
01100010 : 0.011143
01100011 : 0.012177
01100100 : 0.021482
01100101 : 0.088685
01100110 : 0.015393
01100111 : 0.022171
01101000 : 0.033889
01101001 : 0.053188
01101010 : 0.001379
01101011 : 0.006318
01101100 : 0.033314
01101101 : 0.018725
01101110 : 0.052728
01101111 : 0.072947
01110000 : 0.015508
01110001 : 0.000345
01110010 : 0.039403
01110011 : 0.048248
01110100 : 0.071453
01110101 : 0.032051
01110110 : 0.010339
01110111 : 0.018725
01111000 : 0.000574
01111001 : 0.026881
01111010 : 0.000345
10000000 : 0.000345
10010100 : 0.000230
10011001 : 0.000115
11100010 : 0.000345
